,Date,Test Positivity Rate (TPR)
38,03-08-2020,5.61
39,04-08-2020,4.38
40,05-08-2020,4.76
41,06-08-2020,5.34
42,07-08-2020,4.42
43,08-08-2020,5.26
44,09-08-2020,5.89
45,10-08-2020,7.06
46,11-08-2020,5.36
47,12-08-2020,4.19
48,13-08-2020,4.99
49,14-08-2020,4.72
50,15-08-2020,4.81
51,16-08-2020,5.39
52,17-08-2020,7.49
53,18-08-2020,5.12
54,19-08-2020,6.43
55,20-08-2020,5.37
56,21-08-2020,5.5
57,22-08-2020,5.76
58,23-08-2020,5.33
59,24-08-2020,5.21
60,25-08-2020,6.16
61,26-08-2020,6.06
62,27-08-2020,6.17
63,28-08-2020,5.88
64,29-08-2020,6.73
65,30-08-2020,8.24
66,31-08-2020,9.92
67,01-09-2020,9.63
68,02-09-2020,5.6
69,03-09-2020,5.02
70,04-09-2020,6.74
71,05-09-2020,6.65
72,06-09-2020,7.66
73,07-09-2020,8.58
74,08-09-2020,7.28
75,09-09-2020,7.56
76,10-09-2020,8.25
77,11-09-2020,8.57
78,12-09-2020,6.31
79,13-09-2020,9.44
80,14-09-2020,12.83
81,15-09-2020,6.95
82,16-09-2020,8.28
83,17-09-2020,10.2
84,18-09-2020,8.61
85,19-09-2020,9.6
86,20-09-2020,10.98
87,21-09-2020,12.53
88,22-09-2020,9.78
89,23-09-2020,10.22
90,24-09-2020,11.5
91,25-09-2020,11.35
92,26-09-2020,11.75
93,27-09-2020,13.87
94,28-09-2020,13.51
95,29-09-2020,12.73
96,30-09-2020,13.87
97,01-10-2020,13.6
98,02-10-2020,14.41
99,03-10-2020,14.22
100,04-10-2020,14.45
101,05-10-2020,14.68
102,06-10-2020,12.06
103,07-10-2020,13.85
104,08-10-2020,8.69
105,09-10-2020,13.51
106,10-10-2020,17.46
107,11-10-2020,16.8
108,12-10-2020,17.39
109,13-10-2020,18.16
110,14-10-2020,12.47
111,15-10-2020,15.53
112,16-10-2020,14.05
113,17-10-2020,17.32
114,18-10-2020,13.07
115,19-10-2020,13.72
116,20-10-2020,12.23
117,21-10-2020,13.49
118,22-10-2020,13.34
119,23-10-2020,13.14
120,24-10-2020,12.21
121,25-10-2020,14.19
122,26-10-2020,12.2
123,27-10-2020,11.81
124,28-10-2020,13.12
125,29-10-2020,12.92
126,30-10-2020,12.3
127,31-10-2020,13.31
128,01-11-2020,14.05
129,02-11-2020,12.41
130,03-11-2020,11.22
131,04-11-2020,11.95
132,05-11-2020,11.11
133,06-11-2020,11.05
134,07-11-2020,11.24
135,08-11-2020,11.15
136,09-11-2020,11.06
137,10-11-2020,10.98
138,11-11-2020,10.92
139,12-11-2020,9.68
140,13-11-2020,9.97
141,14-11-2020,10.33
142,15-11-2020,9.93
143,16-11-2020,10.78
144,17-11-2020,10.31
145,18-11-2020,9.53
146,19-11-2020,8.54
147,20-11-2020,9.99
148,21-11-2020,9.59
149,22-11-2020,10.94
150,23-11-2020,10.54
151,24-11-2020,9.04
152,25-11-2020,9.83
153,26-11-2020,9.6
154,27-11-2020,10.14
155,28-11-2020,9.77
156,29-11-2020,11.34
157,30-11-2020,9.75
158,01-12-2020,9.14
159,02-12-2020,11.08
160,03-12-2020,8.89
161,04-12-2020,9.95
162,05-12-2020,7.9
163,06-12-2020,9.21
164,07-12-2020,14.91
165,08-12-2020,8.31
166,09-12-2020,9.24
167,10-12-2020,8.9
168,11-12-2020,8.78
169,12-12-2020,7.87
170,13-12-2020,10.13
171,14-12-2020,8.49
172,15-12-2020,9.24
173,16-12-2020,9.99
174,17-12-2020,8.17
175,18-12-2020,10.02
176,19-12-2020,10.49
177,20-12-2020,10.6
178,21-12-2020,9.82
179,22-12-2020,9.33
180,23-12-2020,10.04
181,24-12-2020,9.23
182,25-12-2020,11.05
183,26-12-2020,9.91
184,27-12-2020,10.64
185,28-12-2020,9.27
186,29-12-2020,4.93
187,30-12-2020,9.81
188,31-12-2020,8.95
189,01-01-2021,9.45
190,02-01-2021,9.85
191,03-01-2021,9.73
192,04-01-2021,9.02
193,05-01-2021,9.16
194,06-01-2021,8.79
195,07-01-2021,8.33
196,08-01-2021,8.63
197,09-01-2021,9.03
198,10-01-2021,9.95
199,11-01-2021,8.81
200,12-01-2021,8.52
201,13-01-2021,8.69
202,14-01-2021,8.11
203,15-01-2021,8.94
204,16-01-2021,9.18
205,17-01-2021,9.57
206,18-01-2021,10.11
207,19-01-2021,9.34
208,20-01-2021,11.08
209,21-01-2021,10.34
210,22-01-2021,11.63
211,23-01-2021,11.4
212,24-01-2021,12.48
213,25-01-2021,10.88
214,26-01-2021,10.43
215,27-01-2021,11.07
216,28-01-2021,9.87
217,29-01-2021,10.66
218,30-01-2021,10.69
219,31-01-2021,10.72
220,01-02-2021,10.3
221,02-02-2021,10.8
222,03-02-2021,10.66
223,04-02-2021,7.57
224,05-02-2021,6.1
225,06-02-2021,7.18
226,07-02-2021,9.27
227,08-02-2021,7.81
228,09-02-2021,7.47
229,10-02-2021,7.47
230,11-02-2021,7.37
231,12-02-2021,7.25
232,13-02-2021,6.36
233,14-02-2021,7.46
234,15-02-2021,7.31
235,16-02-2021,6.64
236,17-02-2021,6.99
237,18-02-2021,6.79
238,19-02-2021,6.67
239,20-02-2021,7.05
240,21-02-2021,7.11
241,22-02-2021,5.81
242,23-02-2021,5.8
243,24-02-2021,5.82
244,25-02-2021,5.78
245,26-02-2021,5.41
246,27-02-2021,5.14
247,28-02-2021,5.18
248,01-03-2021,4.21
249,02-03-2021,4.31
250,03-03-2021,4.64
251,04-03-2021,4.15
252,05-03-2021,4.2
253,06-03-2021,4.52
254,07-03-2021,4.04
255,08-03-2021,3.62
256,09-03-2021,3.42
257,10-03-2021,3.96
258,11-03-2021,3.05
259,12-03-2021,3.41
260,13-03-2021,3.49
261,14-03-2021,3.54
262,15-03-2021,2.74
263,16-03-2021,3.23
264,17-03-2021,3.49
265,18-03-2021,3.5
266,19-03-2021,3.73
267,20-03-2021,3.54
268,21-03-2021,4.2
269,22-03-2021,3.56
270,23-03-2021,3.46
271,24-03-2021,4.33
272,25-03-2021,3.9
273,26-03-2021,3.49
274,27-03-2021,3.93
275,28-03-2021,4.69
276,29-03-2021,4.14
277,30-03-2021,4.08
278,31-03-2021,5.37
279,01-04-2021,5.15
280,02-04-2021,4.84
281,03-04-2021,5.67
282,04-04-2021,6.2
283,05-04-2021,5.86
284,06-04-2021,5.93
285,07-04-2021,5.78
286,08-04-2021,6.81
287,09-04-2021,8.01
288,10-04-2021,10.0
289,11-04-2021,10.75
290,12-04-2021,12.53
291,13-04-2021,10.23
292,14-04-2021,13.45
293,15-04-2021,13.34
294,16-04-2021,14.8
295,17-04-2021,17.04
296,18-04-2021,16.77
297,19-04-2021,15.63
298,20-04-2021,17.45
299,21-04-2021,18.41
300,22-04-2021,19.97
301,23-04-2021,21.78
302,24-04-2021,20.35
303,25-04-2021,22.46
304,26-04-2021,22.71
305,27-04-2021,23.24
306,28-04-2021,25.34
307,29-04-2021,22.0
308,30-04-2021,24.88
309,01-05-2021,24.33
310,02-05-2021,28.37
311,03-05-2021,27.01
312,04-05-2021,26.08
313,05-05-2021,25.69
314,06-05-2021,27.28
315,07-05-2021,26.64
316,08-05-2021,28.25
317,09-05-2021,28.88
318,10-05-2021,27.56
319,11-05-2021,26.77
320,12-05-2021,29.75
321,13-05-2021,28.61
322,14-05-2021,26.41
323,15-05-2021,26.65
324,16-05-2021,25.61
325,17-05-2021,24.74
326,18-05-2021,23.29
327,19-05-2021,23.31
328,20-05-2021,23.18
329,21-05-2021,22.22
330,22-05-2021,22.63
331,23-05-2021,22.81
332,24-05-2021,20.41
333,25-05-2021,20.84
334,26-05-2021,19.95
335,27-05-2021,17.87
336,28-05-2021,16.4
337,29-05-2021,16.59
338,30-05-2021,15.97
339,31-05-2021,13.77
340,01-06-2021,15.13
341,02-06-2021,15.3
342,03-06-2021,15.22
343,04-06-2021,14.82
344,05-06-2021,14.89
345,06-06-2021,14.27
346,07-06-2021,13.2
347,08-06-2021,14.15
